Branch Name,Total Sales,Cost of Goods Sold (COGS),Gross Profit,Operating Expenses,Net Profit,Time Period,Notes/Comments
Main Branch,"$250,000","$150,000","$100,000","$40,000","$60,000",12/01/2024 - 12/31/2024,Strong holiday season sales
East Side Pharmacy,"$210,000","$125,000","$85,000","$35,000","$50,000",12/01/2024 - 12/31/2024,Increased prescriptions for pain medications
West End Pharmacy,"$220,000","$135,000","$85,000","$38,000","$47,000",12/01/2024 - 12/31/2024,Operating expenses up due to rent increase
Branch 4,"$270,000","$160,000","$110,000","$45,000","$65,000",12/01/2024 - 12/31/2024,Surge in prescriptions for chronic conditions
Branch 5,"$200,000","$120,000","$80,000","$32,000","$48,000",12/01/2024 - 12/31/2024,"Stable sales, cost of goods controlled"
Branch 6,"$215,000","$130,000","$85,000","$37,000","$48,000",12/01/2024 - 12/31/2024,Slight decrease in overall sales
Branch 7,"$240,000","$140,000","$100,000","$42,000","$58,000",12/01/2024 - 12/31/2024,Strong sales in the last quarter
Branch 8,"$260,000","$155,000","$105,000","$41,000","$64,000",12/01/2024 - 12/31/2024,High demand for over-the-counter medications
Branch 9,"$190,000","$115,000","$75,000","$30,000","$45,000",12/01/2024 - 12/31/2024,Reduced sales in the final quarter
Branch 10,"$230,000","$140,000","$90,000","$39,000","$51,000",12/01/2024 - 12/31/2024,Increase in prescription volume
Branch 11,"$215,000","$130,000","$85,000","$38,000","$47,000",12/01/2024 - 12/31/2024,Operating costs increased due to staffing
Branch 12,"$250,000","$150,000","$100,000","$42,000","$58,000",12/01/2024 - 12/31/2024,Consistent sales growth
Branch 13,"$180,000","$110,000","$70,000","$28,000","$42,000",12/01/2024 - 12/31/2024,Lower sales in December
Branch 14,"$265,000","$155,000","$110,000","$43,000","$67,000",12/01/2024 - 12/31/2024,Surge in prescription medications
Branch 15,"$220,000","$130,000","$90,000","$40,000","$50,000",12/01/2024 - 12/31/2024,Sales in line with expectations
Branch 16,"$210,000","$125,000","$85,000","$36,000","$49,000",12/01/2024 - 12/31/2024,Cost control improved in final quarter
Branch 17,"$240,000","$145,000","$95,000","$40,000","$55,000",12/01/2024 - 12/31/2024,Good performance in prescription sales
Branch 18,"$230,000","$140,000","$90,000","$38,000","$52,000",12/01/2024 - 12/31/2024,Steady growth in over-the-counter sales
Branch 19,"$205,000","$120,000","$85,000","$33,000","$52,000",12/01/2024 - 12/31/2024,Increased operating expenses
Branch 20,"$250,000","$150,000","$100,000","$40,000","$60,000",12/01/2024 - 12/31/2024,Stable performance across product categories
